keyge,group,category,description
gene:100037374,genomic,gene,gene:100037374
gene:100037394,genomic,gene,gene:100037394
gene:100037417,genomic,gene,gene:100037417
gene:100037718,genomic,gene,gene:100037718
gene:100037724,genomic,gene,gene:100037724
gene:100038031,genomic,gene,gene:100038031
gene:100038246,genomic,gene,gene:100038246
gene:100038273,genomic,gene,gene:100038273
gene:100038355,genomic,gene,gene:100038355
gene:100038371,genomic,gene,gene:100038371
gene:100038412,genomic,gene,gene:100038412
gene:100038454,genomic,gene,gene:100038454
gene:100038522,genomic,gene,gene:100038522
gene:100038659,genomic,gene,gene:100038659
gene:100038693,genomic,gene,gene:100038693
